delta,delta_log2,frequency,density,cumulative_density
12/19,-0.6629650127224294,20928,0.0004115833979906,0.9343407857041951
19/12,0.6629650127224294,20613,0.0004053884070518,0.9347461741112469
9/22,-1.2895066171949847,20440,0.000401986078695,0.935148160189942
22/9,1.289506617194985,20384,0.0004008847469725,0.9355490449369145
13/18,-0.4694852833012203,20272,0.0003986820835276,0.935947727020442
3/29,-3.273018494406416,20065,0.0003946110894821,0.9363423381099242
29/3,3.273018494406416,19937,0.0003920937598308,0.936734431869755
18/13,0.4694852833012202,19851,0.0003904024289713,0.9371248342987263
9/23,-1.3536369546147005,19770,0.0003888094313014,0.9375136437300277
23/9,1.3536369546147005,19108,0.0003757901170109,0.9378894338470386
13/21,-0.6918777046376681,18734,0.000368434794436,0.9382578686414746
21/13,0.6918777046376682,18700,0.0003677661287474,0.9386256347702221
2/11,-2.4594316186372973,18607,0.0003659371314226,0.9389915719016447
11/2,2.4594316186372973,18605,0.0003658977981468,0.9393574696997915
7/27,-1.9475325801058647,18590,0.0003656027985783,0.9397230724983698
27/7,1.9475325801058647,18551,0.0003648357997001,0.94008790829807
35,5.129283016944966,18506,0.0003639508009946,0.9404518590990646
30/7,2.0995356735509145,18461,0.000363065802289,0.9408149249013535
16/17,-0.0874628412503394,18461,0.000363065802289,0.9411779907036425
7/30,-2.0995356735509145,18326,0.0003604108061724,0.9415384015098149
4/29,-2.8579809951275723,18282,0.0003595454741048,0.9418979469839197
17/16,0.0874628412503394,18235,0.0003586211421234,0.9422565681260431
1/35,-5.129283016944966,18231,0.0003585424755718,0.9426151106016148
4/27,-2.7548875021634687,18157,0.0003570871443672,0.9429721977459821
29/4,2.8579809951275723,18112,0.0003562021456616,0.9433283998916436
27/4,2.7548875021634687,18039,0.0003547664810948,0.9436831663727384
11/25,-1.1844245711374275,17705,0.0003481978240359,0.9440313641967744
25/11,1.1844245711374275,17622,0.0003465654930902,0.9443779296898646
32,5.0,16628,0.0003270168550166,0.9447049465448811
1/32,-5.0,16421,0.0003229458609711,0.9450278924058523
31/2,3.9541963103868754,16338,0.0003213135300254,0.9453492059358777
15/22,-0.5525410230287788,16314,0.0003208415307157,0.9456700474665933
22/15,0.5525410230287786,16205,0.0003186978671845,0.9459887453337779
2/31,-3.9541963103868754,16193,0.0003184618675297,0.9463072072013076
3/35,-3.5443205162238103,16086,0.0003163575372743,0.9466235647385819
35/3,3.5443205162238103,15812,0.0003109688784895,0.9469345336170714
25/14,0.8365012677171206,15723,0.0003092185477163,0.9472437521647876
14/25,-0.8365012677171205,15611,0.0003070158842714,0.947550768049059
31/5,2.632268215499513,15296,0.0003008208933326,0.9478515889423916
5/31,-2.632268215499513,15290,0.0003007028935052,0.9481522918358968
35/4,3.129283016944967,15286,0.0003006242269536,0.9484529160628504
12/25,-1.0588936890535685,15284,0.0003005848936778,0.9487535009565282
33,5.044394119358453,15183,0.0002985985632498,0.949052099519778
1/33,-5.044394119358453,15171,0.000298362563595,0.9493504620833729
4/35,-3.129283016944967,15161,0.000298165897216,0.9496486279805889
25/12,1.0588936890535687,15028,0.0002955502343751,0.949944178214964
10/27,-1.4329594072761065,14925,0.0002935245706713,0.9502377027856354
27/10,1.4329594072761065,14509,0.0002853432493046,0.95052304603494
33/5,2.722466024471091,14464,0.000284458250599,0.950807504285539
5/33,-2.722466024471091,14388,0.0002829635861185,0.9510904678716574
1/13,-3.700439718141092,14257,0.0002803872565535,0.951370855128211
20/19,0.0740005814437767,14192,0.00027910892509,0.9516499640533009
19/20,-0.0740005814437769,14119,0.0002776732605232,0.9519276373138241
